author,published_at,updated_at,like_count,text
@OmniMusic888,2024-01-26T03:42:59Z,2024-01-26T03:42:59Z,0,Now we know why Conor McGregor is looking different.
@Tedgers,2024-01-26T03:42:29Z,2024-01-26T03:42:29Z,0,CINEMA IS BACK BABY FEEL LIKE THE 80S
@libra9633,2024-01-26T03:42:25Z,2024-01-26T03:42:25Z,64,"Patrick Swayze will forever be THE Dalton of Road House. But this is Jake  Gyllenhaal we’re talking about. Jake has never disappointed me in his Movies. I thought this was going to be a series at first. The hand to hand combat looks like fire as hell. (No pun intended 💀💀😂) I am Definitely on board for the captain of this ship because of the destination it’s being filmed at. Give it All you have, Jake!!!! 💘💖💖💜"
@songokugaming927,2024-01-26T03:42:07Z,2024-01-26T03:42:07Z,0,Baywatch+ never back down 😂
@Thelomes1,2024-01-26T03:42:01Z,2024-01-26T03:42:01Z,0,Looks good!! I&#39;m sold
@fingerscut,2024-01-26T03:41:58Z,2024-01-26T03:41:58Z,2,"When they announced this film,I thought,why try and remake a classic. But after seeing the trailer I&#39;m actually a lil excited to see it. Looks like a good remake."
@StefanMichaels-ut9jg,2024-01-26T03:41:57Z,2024-01-26T03:41:57Z,0,I got a tip for ya..<br>Sell your piss water company and retire
@MS-sv1tr,2024-01-26T03:41:46Z,2024-01-26T03:41:46Z,0,Bet Conor was a nightmare on set.
@alosersdiary,2024-01-26T03:41:28Z,2024-01-26T03:41:28Z,0,I&#39;m here just for conor
@TonettaClay,2024-01-26T03:41:22Z,2024-01-26T03:41:22Z,0,He was slapping the heezy out of him 😂
@TonettaClay,2024-01-26T03:40:52Z,2024-01-26T03:40:52Z,0,Looks like a good movie 🍿🎥
@mathieuchenier9551,2024-01-26T03:40:31Z,2024-01-26T03:40:31Z,0,They just secretly filmed Conor in his day to day life....
@anthonyvoss9150,2024-01-26T03:40:22Z,2024-01-26T03:40:22Z,0,Ima watch that movie 🎥
@TheKittengoddess,2024-01-26T03:40:15Z,2024-01-26T03:40:15Z,0,I must be the only person on earth who hates this culture and music.
@jamespittman,2024-01-26T03:39:37Z,2024-01-26T03:39:37Z,0,I think the movie &quot;Road House&quot; going to be a great movie coming soon to Amazon Prime video.🤩
@zulutgseta8276,2024-01-26T03:39:34Z,2024-01-26T03:39:34Z,0,BrokeBack Octagon 😁 😆  🤣🤣🤣
