author,published_at,updated_at,like_count,text
@Bamgeutcutiepie,2024-03-10T20:06:08Z,2024-03-10T20:06:08Z,0,the vintage vibe crossed with edward scissorhand  😍😍😍😍 this looks so goooooood
@Asus-y9u,2024-03-10T18:48:56Z,2024-03-10T18:48:56Z,0,Quite watchable
@Asus-y9u,2024-03-10T18:47:22Z,2024-03-10T18:47:22Z,0,Just finished watching it good
@NRYNn12,2024-03-10T02:14:31Z,2024-03-10T02:14:31Z,0,Wow Liza Soberano!!!👏👏👏
@sl1nker633,2024-03-09T20:56:14Z,2024-03-09T20:56:14Z,1,Zelda Williams. OMG I watched the movie. The details and direction are brilliant.
@Deathjoker_,2024-03-09T18:01:24Z,2024-03-09T18:01:24Z,5,The movie is kinda silly but Kathryn Newton is kinda cute tbh.
@kriss9888,2024-03-09T17:22:01Z,2024-03-09T17:22:01Z,0,cringe delete this please
@eleniamora378,2024-03-09T08:19:34Z,2024-03-09T08:19:34Z,1,If Heathers and Corpse Bride had a baby it would be this movie.
@svedish_fish,2024-03-09T05:40:24Z,2024-03-09T05:40:24Z,0,Me and my misleading trailer
@E9oK9kMaV,2024-03-09T02:29:13Z,2024-03-09T02:29:13Z,0,i remember watching this when it was called Warm Bodies.
@apocalips100,2024-03-08T22:17:27Z,2024-03-08T22:17:27Z,1,NO THANKS
@millsj9383,2024-03-08T20:26:53Z,2024-03-08T20:26:53Z,0,That&#39;s Jonie from Halt and Catch Fire and Filipina actress Liza Soberano.
@LanaDelReySupremacy,2024-03-07T02:02:55Z,2024-03-07T02:02:55Z,0,it reminds me of jennifer’s body a little
@Jac70,2024-03-06T20:48:56Z,2024-03-06T20:48:56Z,3,I enjoyed this movie very much. I haven&#39;t seen Kathryn Newton in anything before this but was aware of her and always thought she had a Madonna vibe about her. I was there in the 80s so I engaged with this and the movie was pretty weird and funny.
@BrittanyMMichelle0492,2024-03-06T20:26:55Z,2024-03-06T20:26:55Z,0,Jesus loves you!!
@rain_rxinyxplayz,2024-03-06T17:06:39Z,2024-03-06T17:07:09Z,0,"<a href=""https://www.youtube.com/watch?v=POOeA3zCuUY&amp;t=109"">1:49</a> &quot;That hand is gonna do terrible things&quot; 🤨🤨🤭🤭"
@JaoSef-kx6mv,2024-03-06T16:00:43Z,2024-03-06T16:00:43Z,1,Our Queen Liza Soberano finally 😭
@flipfloptosser5916,2024-03-06T10:41:10Z,2024-03-06T10:41:10Z,3,Tim Burton vibes
@solbautista2994,2024-03-06T05:37:20Z,2024-03-06T05:37:20Z,3,"I just finished watching it, and it was really good. I didn&#39;t expect much, but they really did a great job creating this movie. Kudos to everyone, especially Liza Soberano; this was her first appearance as an actress internationally, and she nailed it. She was so pretty, and she really made a great impact on her character. I would love to watch more of her movies. I would definitely recommend this to my friends as well."
@DeltaFoxtrotWhiskey3,2024-03-06T01:29:49Z,2024-03-06T01:29:49Z,1,"Anyone else get a Bellatrix Lestrange  vibe off Lisa at <a href=""https://www.youtube.com/watch?v=POOeA3zCuUY&amp;t=121"">2:01</a>?"
@nashadesouza6522,2024-03-05T12:44:28Z,2024-03-05T12:44:28Z,1,I loved this movei it gave me the feeling of when I was in my teens  the music the year the innocence yet guilty comedic romance and the end was so beautiful its been ages since I got teary eyes to a movie
@RosejaneVillanueva-q5l,2024-03-05T06:01:50Z,2024-03-05T06:01:50Z,0,Liza soberano🥰🥰🥰
@monolyn,2024-03-05T05:06:02Z,2024-03-05T05:06:02Z,1,this movie was pretty meh for me :( I left after 30minutes. <br>all the jokes and stuff fell super flat and only the good ones were in the trailer
@jaysample5496,2024-03-05T04:37:46Z,2024-03-05T04:37:46Z,0,Liza S. is here ❤😊
@hazzaplayz808,2024-03-04T14:37:05Z,2024-03-04T14:37:05Z,1,"Just finished watching this,it was surprisingly good"
@candlemaker4928,2024-03-04T12:32:04Z,2024-03-04T12:32:04Z,0,well well well Johnny and Amber are seems to be alright I guess.
@MikkyLanCinema,2024-03-04T06:08:00Z,2024-03-04T06:08:00Z,0,Particularly intriguing! ✨
@kylewilkins6149,2024-03-04T05:22:52Z,2024-03-04T05:22:52Z,1,Absolutely loved this
@moonandsunrise7936,2024-03-03T15:10:18Z,2024-03-03T15:10:18Z,1,I already watched it and I loved it!
@nevaehtucker-nt6yz,2024-03-03T04:13:37Z,2024-03-03T04:13:37Z,1,"Please delete this movie. Its DEFINATELY NOT PG-13. It was not funny, and disturbing. The insects had me gaging, actually, everything had me gaging. It was also cringey and the girl needed help. I&#39;m not the same person after watching that movie"
